,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,ATBSEG,ATBTOK,FEAT,STATUS,COMMENTS,NOTES,#CLASS
465,466,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,siy,siy,C.,,,,,,,pos:abbrev,,,,[STEM-BASE]
466,467,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],laA/NEG_PART+siy~amaA/ADV,siy~amaA,laAsiy~amaA,especially,,,laA+_siy~amaA,laA+_siy~amaA,laA+_siy~amaA,laA+_siy~amaA,pos:adv prc0:lA_neg stt:i cas:u,,,,[STEM-COMPOUND]
467,468,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,siy~amaA,siy~amaA,especially,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
468,469,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,SlEm,SlEm,Peace_Be_Upon_Him,,,,,,,pos:abbrev,,,,[STEM-BASE]
469,470,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,sm,sm,centimeter,,,,,,,pos:abbrev,,,,[STEM-BASE]
470,471,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,t,t,T.;(date);(time/timing);(died);22nd,,,,,,,pos:abbrev,,,,[STEM-BASE]
471,472,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,T,T,T.;9th,,,,,,,pos:abbrev,,,,[STEM-BASE]
472,473,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],la/EMPHATIC_PART+TAlamaA/ADV,TaAlamaA,laTaAlamaA,indeed+so_often_that,,,la+_TaAlamaA,la+_TaAlamaA,la+_TaAlamaA,la+_TaAlamaA,pos:adv prc1:la_emph stt:i cas:u,,,,[STEM-COMPOUND]
473,474,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,TaAlamaA,TaAlamaA,so_often_that,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
474,475,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,TaAlamaA,TaAlamaA,as_long_as,,,,,,,pos:conj_sub,,,,[STEM-BASE]
475,476,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,tatoraY,tatoraA,one_after_the_other;in_succession,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
476,477,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,tatoraY,tatoraY,one_after_the_other;in_succession,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
477,478,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,tg,tg,GMT_(Greenwich_Mean_Time),,,,,,,pos:abbrev,,,,[STEM-BASE]
478,479,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,tg,tj,GMT_(Greenwich_Mean_Time),,,,,,,pos:abbrev,,,,[STEM-BASE]
479,480,t.s.E,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,tisoEami}ap,tisoEami},nine-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
480,481,t.s.E,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,tisoEami}ap,tisoEimi},nine-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
481,482,t.s.E,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,tisoEami}ap,tisoEumi},nine-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
482,483,t.s.E,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,tisoEamiA}ap,tisoEamiA},nine-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
483,484,t.s.E,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,tisoEamiA}ap,tisoEimiA},nine-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
