,PATTERN_ABSTRACT,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
1016,1a2a3,,\1.w.t,,BACKOFF,[STEM-PV],1iy3,lex:\1At-u,,\1iyt,,,\1iyt/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,#t intrans,^([^wyA}&])yt$,1,
1017,1a2~a3,,\1.w.t,,BACKOFF,[STEM-PV],1u2~i3,lex:\1aw~at,,\1uw~it,,,\1uw~it/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#t intrans,^([^wyA}&])wt$,1,
1018,1a2o3a4,,\1.w.\2.y,,BACKOFF,[STEM-PV],1u2o3,lex:\1awo\2aY,,\1uwo\2,,,\1uwo\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-iy intrans,^([^wyA}&])w([^wyA}&])$,1,
1019,1a2a3,,\1.>.\2,,BACKOFF,[STEM-PV],1u}i3,lex:\1a&u\2,,\1u}i\2,,,\1u}i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])}([^ntwyA}&])$,1,
1020,1a2a3,,\1.w.>,,BACKOFF,[STEM-PV],1,lex:\1A'-i,,\1,,,\1/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,#-iy' intrans,^([^wyA}&])$,1,
1021,1a2a3,,\1.w.>,,BACKOFF,[STEM-PV],1u&,lex:\1A'-i,,\1u&,,,\1u&/PV_PASS,na,pos:verb asp:p vox:p mod:i,c-suff,,intrans,^([^wyA}&])&$,1,
1022,1a2a3,,\1.n.n,,BACKOFF,[STEM-PV],1u2~,lex:\1an~-a,,\1un~,,,\1un~/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,#n gem intrans,^([^wyA}&])n$,1,
1023,1a2o3a4,,\1.>.\2.n,,BACKOFF,[STEM-PV],1u&o3i4,lex:\1a>o\2an,,\1u&o\2in,,,\1u&o\2in/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#n intrans,^([^wyA}&])&([^wyA}&])n$,1,
1024,1a2a3,,\1.\2.y,,BACKOFF,[STEM-PV],1u2i},lex:\1a\2i}-a,,\1u\2i},,,\1u\2i}/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])([^wyA}&])}$,1,
1025,1a2o3a4,,\1.\2.>.n,,BACKOFF,[STEM-PV],1u2o}i4,lex:\1a\2o>an,,\1u\2o}in,,,\1u\2o}in/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#n intrans,^([^wyA}&])([^wyA}&])}n$,1,
