,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F
172,173,#MORPH,[LPRON],l/PREP+ak/PRON.2MS,la#k,l/PREP+ak/XVSUFF_IO:2MS,EGY,to/for you [masc.sg.],enc1:2ms_iobj,!enc0:2*,enc1 enc1:2*,_l_+ak,,DONE,
173,174,#MORPH,[LPRON],l/PREP+ik/PRON.2FS,lik,l/PREP+ik/XVSUFF_IO:2FS,EGY,to/for you [fem.sg.],enc1:2fs_iobj,!enc0:2* else,enc1 enc1:2*,_l_+ik,,DONE,
174,175,#MORPH,[LPRON],l/PREP+ik/PRON.2FS,li#kiy,l/PREP+kiy/XVSUFF_IO:2FS,EGY,to/for you [fem.sg.],enc1:2fs_iobj,!enc0:2* #^V,enc1 enc1:2*,_l_+ik,,DONE,
175,176,#MORPH,[LPRON],l/PREP+ik/PRON.2FS,li#kiy,l/PREP+kiy/XVSUFF_IO:2FS,EGY,to/for you [fem.sg.],enc1:2fs_iobj,!enc0:2* #NEG,enc1 enc1:2*,_l_+ik,,DONE,
176,177,#MORPH,[LPRON],l/PREP+kuw/PRON.2P,lu#kuw,l/PREP+kuw/XVSUFF_IO:2P,EGY,to/for you,enc1:2p_iobj,!enc0:2*,enc1 enc1:2*,_l_+kuw,,DONE,
177,178,#MORPH,[LPRON],l/PREP+uh/PRON.3MS,lu#h,l/PREP+uh/XVSUFF_IO:3MS,EGY,to/for him,enc1:3ms_iobj,else,enc1,_l_+uh,,DONE,
178,179,#MORPH,[LPRON],l/PREP+uh/PRON.3MS,lu#huw,l/PREP+uh/XVSUFF_IO:3MS,EGY,to/for him,enc1:3ms_iobj,#NEG,enc1,_l_+uh,,DONE,
179,180,#MORPH,[LPRON],l/PREP+hA/PRON.3FS,la#hA,l/PREP+hA/XVSUFF_IO:3FS,EGY,to/for her,enc1:3fs_iobj,,enc1,_l_+hA,,DONE,
180,181,#MORPH,[LPRON],l/PREP+hum/PRON.3P,lu#hum ,l/PREP+hum/XVSUFF_IO:3P,EGY,to/for them,enc1:3p_iobj,,enc1,_l_+hum,,DONE,
181,182,,,,,,,,,,,,,,
182,183,,,,,,,,,,,,,,
183,184,#MORPH,[NEG] ,_,_,_,EGY,_,enc1:0,,_,_,,DONE,
184,185,#MORPH,[NEG] ,$/PART_NEG,$,$/NEG_PART,EGY,not,enc1:part_neg,,#NEG,_+$,,DONE,
