,#PATTERN_ABS,#PATTERN_DEF,#PATTERN_UNIQ,#PATTERN,#ROOT,#LEMMA_AR,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,,STATUS
71,{i1ota2a3,{i1~a2a3,{i1~a2a3,1~a2i3,d.g.m,ٱِدَّغَم#1,LEXICON,[STEM-IV],{id~agam_1,d~agim,IV,insert;embody,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
72,{i1ota2a3,{i1~aAo3,{i1~a@o3,1~a3,d.#.H,ٱِدّاح#1,LEXICON,[STEM-IV],{id~AH_1,d~aH,IV,extend;spread_out,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# hollow trans,,QC-DONE
73,{i1ota2a3,{i1~aAo3,{i1~a@o3,1~A3,d.#.H,ٱِدّاح#1,LEXICON,[STEM-IV],{id~AH_1,d~AH,IV,extend;spread_out,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# hollow trans,,QC-DONE
74,{i1ota2a3,{i1~a2a3,{i1~a2a3,1~a2i3,d.H.r,ٱِدَّحَر#1,LEXICON,[STEM-IV],{id~aHar_1,d~aHir,IV,be_driven_away;be_defeated;collapse,pos:verb asp:i vox:a gen:_ num:_,,,a-# intrans,,QC-DONE
75,{i1ota2a3,{i1~a2a3,{i1~a2a3,1~a2i3,D.j.E,ٱِضَّجَع#1,LEXICON,[STEM-IV],{iD~ajaE_1,D~ajiE,IV,lie_down;sleep,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
76,{i1ota2a3,{i1~a2a3,{i1~a2a3,1~a2i3,d.k.r,ٱِدَّكَر#1,LEXICON,[STEM-IV],{id~akar_1,d~akir,IV,remember,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
77,{i1ota2a3,{i1~a2aY,{i1~a2a#,1~a2,d.n.#,ٱِدَّنَى#1,LEXICON,[STEM-IV],{id~anaY_1,d~an,IV,be_near;approach,pos:verb asp:i vox:a gen:_ num:_,,,a-# #-iy defective trans,,QC-DONE
78,{i1ota2a3,{i1~a2a3,{i1~a2a3,1~a2i3,d.r.E,ٱِدَّرَع#1,LEXICON,[STEM-IV],{id~araE_1,d~ariE,IV,be_armed;be_equipped,pos:verb asp:i vox:a gen:_ num:_,,,a-# intrans,,QC-DONE
79,{i1ota2a3,{i1~a2a3,{i1~a2a3,1~a2i3,d.v.r,ٱِدَّثَر#1,LEXICON,[STEM-IV],{id~avar_1,d~avir,IV,wrap_oneself;cover_oneself,pos:verb asp:i vox:a gen:_ num:_,,,a-# intrans,,QC-DONE
80,{i1ota2a3,{i1~a2a3,{i1~a2a3,1~a2i3,d.x.r,ٱِدَّخَر#1,LEXICON,[STEM-IV],{id~axar_1,d~axir,IV,store;hoard;save,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
