,Pattern,,COND-ST,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,COND-map,Test,Color,Comments,STATUS
89,{isota1owa3,{isota1owa3,,5,{isotanowaq,{isotanowaq,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,{usotunowiq,0,,DONE
90,{isota1owaY,{isota1owa#,#-ay,4,{isotaqowaY,{isotaqow,{iso(.).(.).(.),{uso$1u$2o$3,#-iy,{usotuqow,1,,DONE
91,{isota1oya3,{isota1oya3,#n,2,{isotahoyam,{isotahoyam,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,{usotuhoyim,0,,DONE
92,{isota1oya3,{isota1oya3,,2,{isotahoyam,{isotahoyam,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,{usotuhoyim,0,,DONE
93,{isota1oyaY,{isota1oya#,#-ay,2,{isotaHoyaY,{isotaHoy,{iso(.).(.).(.),{uso$1u$2o$3,#-iy,{usotuHoy,1,,DONE
94,{isotawo>a3,{isotawo>a3,,1,{isotawo>ar,{isotawo>ar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o}i$5,,{usotuwo}ir,0,,DONE
95,{isotawo2a3,{isotawo2a3,#n,1,{isotawofaz,{isotawofaz,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,{usotuwofiz,1,,DONE
96,{isotawo2a3,{isotawo2a3,,19,{isotawofaz,{isotawofaz,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,{usotuwofiz,1,,DONE
97,{isotawo2aY,{isotawo2a#,#-ay,4,{isotawolaY,{isotawol,{iso(.).(.).(.),{uso$1u$2o$3,#-iy,{usotuwol,0,,DONE
98,{isotayo>a3,{isotayo>a3,,1,{isotayo>as,{isotayo>as,{i(.).(.).(.).(.).(.),{u$1o$2u$3o}i$5,,{usotuyo}is,1,,DONE
99,{isotayo2a3,{isotayo2a3,#n,2,{isotayosar,{isotayosar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,{usotuyosir,0,,DONE
100,{isotayo2a3,{isotayo2a3,,2,{isotayosar,{isotayosar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,{usotuyosir,0,,DONE
101,>a1a2~,>a1a2~,c-suff + gem,67,>aZal~,>aZolal,(.).(.).(.).(.),$1u$2o$3i$4,c-suff + gem,>uZolil,1,,DONE
102,>a1a2~,>a1a2~,v-suff + gem,67,>aZal~,>aZal~,(.).(.).(.)~,$1u$2i$3~,v-suff + gem,>uZil~,1,,DONE
103,>a1a2~,>a1a2~,c-suff + #n gem,7,>aZal~,>aZolal,(.).(.).(.).(.),$1u$2o$3i$4,c-suff + #n gem,>uZolil,1,,DONE
104,>a1a2~,>a1a2~,v-suff + #n gem,7,>aZal~,>aZal~,(.).(.).(.)~,$1u$2i$3~,v-suff + #n gem,>uZil~,1,,DONE
105,>a1a2~,>a1a2~,c-suff + #t gem,1,>aZal~,>aZolal,(.).(.).(.).(.),$1u$2o$3i$4,c-suff + #t gem,>uZolil,1,,DONE
106,>a1a2~,>a1a2~,v-suff + #t gem,1,>aZal~,>aZal~,(.).(.).(.)~,$1u$2i$3~,v-suff + #t gem,>uZil~,1,,DONE
107,>a1aAo>,>a1a@o>,c-suff + #-a>,6,>asA',>as,(.).(.),$1u$2,,>us,0,Need #-iy',DONE
108,>a1aAo>,>a1a@o>,v-suff + #A-',6,>asA',>asA,(.).(.)A,$1u$2iy,,>usiy,0,Need #-iy',DONE
109,>a1aAo3,>a1a@o3,c-suff + hollow,104,>azAr,>azar,(.).(.).(.),$1u$2i$3,c-suff + hollow,>uzir,1,,DONE
110,>a1aAo3,>a1a@o3,v-suff + hollow,104,>azAr,>azAr,(.).(.)A(.),$1u$2iy$3,v-suff + hollow,>uziyr,1,,DONE
