,PATTERN_ABS,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
135,Ait1a2~i3,Aito1ay~i3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],Aito1ay~i3,lex:Aito1ay~i3,lex:Aito\1ay~i\2,Aito1ay~i3,Aito\1ay~i\2,Aito1ay~i3/PV,Aito\1ay~i\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])y([^ntwyA}&])$,39,
136,Ait1a2a3,Aito1A3,1.w.n,\1.w.n,BACKOFF,[STEM-PV],Aito1a3,lex:Aito1An,lex:Aito\1An,Aito1an,Aito\1an,Aito1an/PV,Aito\1an/PV,na,pos:verb asp:p vox:a mod:i,c-suff,,#n trans,^At([^wyA}&])n$,3,
137,Ait1a2a3,Aito1A3,1.w.n,\1.w.n,BACKOFF,[STEM-PV],Aito1A3,lex:Aito1An,lex:Aito\1An,Aito1An,Aito\1An,Aito1An/PV,Aito\1An/PV,na,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,#n trans,^At([^wyA}&])An$,3,
138,Ait1a2a3,Aito1AwaY,1.w.y,\1.w.y,BACKOFF,[STEM-PV],Aito1Aw,lex:Aito1AwaY,lex:Aito\1AwaY,Aito1Aw,Aito\1Aw,Aito1Aw/PV,Aito\1Aw/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^At([^wyA}&])Aw$,3,
139,Ait1A2i3,Aito1Ayi3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],Aito1Ayi#3,lex:Aito1Ayi3,lex:Aito\1Ayi\2,Aito1Ayi#3,Aito\1Ayi#\2,Aito1Ayi#3/PV,Aito\1Ayi#\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])Ay#([^ntwyA}&])$,13,
140,Ait1a23a4,Aito1a2oya4,1.2.y.4,\1.\2.y.\3,BACKOFF,[STEM-PV],Aito1a2oya4,lex:Aito1a2oya4,lex:Aito\1a\2oya\3,Aito1a2oya4,Aito\1a\2oya\3,Aito1a2oya4/PV,Aito\1a\2oya\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])([^wyA}&])y([^ntwyA}&])$,5,
141,Ait1a2a3,Aito1awa3,1.w.t,\1.w.t,BACKOFF,[STEM-PV],Aito1awa3,lex:Aito1awat,lex:Aito\1awat,Aito1awat,Aito\1awat,Aito1awat/PV,Aito\1awat/PV,na,pos:verb asp:p vox:a mod:i,,,#t trans,^At([^wyA}&])wt$,1,
142,Ait1a23a4,Aito1awo3a4,1.w.3.4,\1.w.\2.\3,BACKOFF,[STEM-PV],Aito1aw3a4,lex:Aito1awo3a4,lex:Aito\1awo\2a\3,Aito1aw3a4,Aito\1aw\2a\3,Aito1aw3a4/PV,Aito\1aw\2a\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])w([^wyA}&])([^ntwyA}&])$,5,
143,Ait1a23i4,Aito1awo3i4,1.w.3.n,\1.w.\2.n,BACKOFF,[STEM-PV],Aito1aw3i4,lex:Aito1awo3in,lex:Aito\1awo\2in,Aito1aw3in,Aito\1aw\2in,Aito1aw3in/PV,Aito\1aw\2in/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])w([^wyA}&])n$,2,
144,Ait1a2a3,Aito1aya3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],Aito1aya3,lex:Aito1aya3,lex:Aito\1aya\2,Aito1aya3,Aito\1aya\2,Aito1aya3/PV,Aito\1aya\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])y([^ntwyA}&])$,1,
145,Ait1a2a3,Aito1A3,1.y.n,\1.y.n,BACKOFF,[STEM-PV],Aito1ِA3,lex:Aito1An,lex:Aito\1An,Aito1ِAn,Aito\1ِAn,Aito1ِAn/PV,Aito\1ِAn/PV,na,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,#n trans,^At([^wyA}&])ِAn$,1,
146,1a2~i3,1a2~i3,1.2.3,\1.\2.\3,BACKOFF,[STEM-PV],1a2~i3,lex:1a2~i3,lex:\1a\2~i\3,1a2~i3,\1a\2~i\3,1a2~i3/PV,\1a\2~i\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^([^wyA}&])([^wyA}&])([^ntwyA}&])$,346,
147,Ait1a2a3,Aito1aya3,1.y.n,\1.y.n,BACKOFF,[STEM-PV],Aito1aya3,lex:Aito1ayan,lex:Aito\1ayan,Aito1ayan,Aito\1ayan,Aito1ayan/PV,Aito\1ayan/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])yn$,1,
148,Ait1a2a3,Aito1a|Y,1.>.y,\1.>.y,BACKOFF,[STEM-PV],Aito1a|,lex:Aito1a|Y,lex:Aito\1a|Y,Aito1a|,Aito\1a|,Aito1a|/PV,Aito\1a|/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^At([^wyA}&])A$,1,
149,Ait1a2~a3,Ai1~a2~a3,1.2.3,\1.\2.\3,BACKOFF,[STEM-PV],Ai1~a2~a3,lex:Ai1~a2~a3,lex:Ai\1~a\2~a\3,Ai1~a2~a3,Ai\1~a\2~a\3,Ai1~a2~a3/PV,Ai\1~a\2~a\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])([^ntwyA}&])$,4,
