,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,LEMMA,FORM,DEFINE,CLASS,BW,GLOSS,FEAT,COND-T,COND-S,STATUS
79,80,Ait1A2i3,>.l.f,>.2.3,Ait|2i3,Ait|2i#3,Ait|lif,Ait|li#f,LEXICON,[STEM-CV],CV,become_god_friends_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
80,81,Ait1a2~i3,>.l.f,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>al~if,Aito>al~if,LEXICON,[STEM-CV],CV,consist_of_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
81,82,Ait1a2~i3,>.l.m,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>al~im,Aito>al~im,LEXICON,[STEM-CV],CV,be_felt;suffer_pain;moan;groan;sigh;experience_pain;make_hear;have_listen_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
82,83,1a2~i3,>.l.s,>.2.3,>a2~i3,>a2~i3,>al~is,>al~is,LEXICON,[STEM-CV],CV,ridicule;scoff_at;exploit;subjugate;make_fun;mock;laugh;behave_scornfully_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
83,84,Ait1A2i3,>.l.s,>.2.3,Ait|2i3,Ait|2i#3,Ait|lis,Ait|li#s,LEXICON,[STEM-CV],CV,ridicule;scoff_at;exploit;subjugate;make_fun;mock;laugh;behave_scornfully_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
84,85,Ait1a2~i3,>.l.s,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>al~is,Aito>al~is,LEXICON,[STEM-CV],CV,ridicule;scoff_at;exploit;subjugate;make_fun;mock;laugh;behave_scornfully_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
85,86,1a2~i3,>.l.t,>.2.3,>a2~i3,>a2~i3,>al~it,>al~it,LEXICON,[STEM-CV],CV,ridicule;scoff_at;exploit;subjugate;make_fun;mock;laugh;behave_scornfully_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
86,87,Ait1a2~i3,>.l.t,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>al~it,Aito>al~it,LEXICON,[STEM-CV],CV,ridicule;scoff_at;exploit;subjugate;make_fun;mock;laugh;behave_scornfully_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
87,88,Ait1a2~i3,>.m.l,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>am~il,Aito>am~il,LEXICON,[STEM-CV],CV,ponder_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
88,89,1a2~i3,>.m.m,>.2.2,>a2~i3,>a2~i3,>am~im,>am~im,LEXICON,[STEM-CV],CV,nationalize;be_nationalized_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
89,90,Ait1a2~i3,>.m.m,>.2.2,Aito>a2~i3,Aito>a2~i3,Aito>am~im,Aito>am~im,LEXICON,[STEM-CV],CV,nationalize;be_nationalized_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
90,91,>a12i3,>.m.n,>.2.3,|2i3,|2i#3,|min,|mi#n,LEXICON,[STEM-CV],CV,believe_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
91,92,1a2~i3,>.m.n,>.2.3,>a2~i3,>a2~i3,>am~in,>am~in,LEXICON,[STEM-CV],CV,assure;guarantee;be_safe;make_secure;make_safe_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
92,93,Ai1ta2a3,>.m.n,>.2.3,Ai}ota2a3,Ai}oti2i3,Ai}otaman,Ai}otimin,LEXICON,[STEM-CV],CV,trust_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
93,94,Ait1A2i3,>.m.n,>.2.3,Ait|2i3,Ait|2i#3,Ait|min,Ait|mi#n,LEXICON,[STEM-CV],CV,have_confidence;be_confident_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
94,95,Ait1a2~i3,>.m.n,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>am~in,Aito>am~in,LEXICON,[STEM-CV],CV,be_trusted;trust;render_safe;say_amen_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
95,96,Aista12i3,>.m.n,>.2.3,Aisota>o2i3,Aisota>o2i3,Aisota>omin,Aisota>omin,LEXICON,[STEM-CV],CV,have_faith_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
96,97,Ait1a2a3,>.m.r,>.2.3,Ait|2a3,Ait|2i#3,Ait|mar,Ait|mi#r,LEXICON,[STEM-CV],CV,conspire_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
97,98,Ait1a2~a3,>.m.r,>.2.3,Aito>a2~a3,Aito>a2~a3,Aito>am~ar,Aito>am~ar,LEXICON,[STEM-CV],CV,conspire;behave_bossily_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
98,99,1a2a3,>.m.r,>.2.3,>a2a3,Au&2u3,>amar,Au&mur,LEXICON,[STEM-CV],CV,command;order;prescribe_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
99,100,Ait1a23a4,>.m.r.k,>.2.3.4,Aito>a2o3a4,Aito>a2o3a4,Aito>amorak,Aito>amorak,LEXICON,[STEM-CV],CV,become_Americanized;americanize;adopt_american_behavior_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
100,101,1a2~i3,>.n.b,>.2.3,>a2~i3,>a2~i3,>an~ib,>an~ib,LEXICON,[STEM-CV],CV,censure;reprimand;be_censured;be_reprimanded;scold;be_scolded_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
101,102,Ait1a2~i3,>.n.b,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>an~ib,Aito>an~ib,LEXICON,[STEM-CV],CV,censure;reprimand;be_censured;be_reprimanded;scold;be_scolded_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
102,103,Ait1a2~i3,>.n.f,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>an~if,Aito>an~if,LEXICON,[STEM-CV],CV,disdain;reject;be_proud_negatively_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
103,104,Aista12i3,>.n.f,>.2.3,Aisota>o2i3,Aisota>o2i3,Aisota>onif,Aisota>onif,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
104,105,Ait1a23i4,>.n.j.j,>.2.3.3,Aito>a2o3i4,Aito>a2o3i4,Aito>anojij,Aito>anojij,LEXICON,[STEM-CV],CV,link_arms_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
105,106,1a2a3,>.n.n,>.2.2,>a2~,>i2~,>an~,>in~,LEXICON,[STEM-CV],CV,complain;moan_[CALIMA],pos:verb asp:c vox:a mod:i,,gem intrans,OK
106,107,>a12i3,>.n.s,>.2.3,|2i3,|2i#3,|nis,|ni#s,LEXICON,[STEM-CV],CV,be_friendly;entertain;perceive;be_friendly_to;nice_to_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
