,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,FEAT,STATUS,SIGNATURE_LEMMA,QC_LEMMA_PARADIGM,COMMENTS,NOTES,SIGNATURE_STEM,QC_STEM_PARADIGM
39,40,d.n.>,1u2o,1u2o3,LEXICON,[STEM-NOM],>adona>,duno,MS,#o'-con,inferior;meaner/meanest,pos:adj_comp gen:m num:p rat:n cas:u,DONE,[MS||MD]-[MS] [-]-[m] [-]-[p] stem:0-1,OK,,,1u2o3#o'-conMSmp,OK
40,41,d.n.w,>a1aA2,>a1A2i3,LEXICON,[STEM-NOM],>adonaY,>adaAn,MS,#dip #iy,inferior;lower/lowest;minimum;near;nearer;nearest,pos:adj_comp gen:m num:p rat:n cas:u,DONE,[MS||MD||MP]-[MS||MD||FP]-[MS]-[MS] [-]-[f]-[m]-[f] [-]-[-]-[p]-[p] stem:0-1-2-3,OK~,,,>a1A2i3#dip #iyMSmp,OK
41,42,d.n.w,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>adonaY,>adon,MS||MD||MP,#dip #aY-Ap-y,inferior;lower/lowest;minimum;near;nearer;nearest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD||MP]-[MS||MD||FP]-[MS]-[MS] [-]-[f]-[m]-[f] [-]-[-]-[p]-[p] stem:0-1-2-3,OK~,,,>a1o2a3#dip #aY-Ap-yMS||MD||MP--,OK
42,43,d.n.w,1u2,1u2o3aY,LEXICON,[STEM-NOM],>adonaY,dunoy,MS||MD||FP,#dip #aA-Ap-y,inferior;lower/lowest;minimum;near;nearer;nearest,pos:adj_comp gen:f num:- rat:n cas:u,DONE,[MS||MD||MP]-[MS||MD||FP]-[MS]-[MS] [-]-[f]-[m]-[f] [-]-[-]-[p]-[p] stem:0-1-2-3,OK~,,,1u2o3aY#dip #aA-Ap-yMS||MD||FPf-,OK
43,44,d.n.w,1u2,1u2a3,LEXICON,[STEM-NOM],>adonaY,dun,MS,#aY-Ap-y,inferior;lower/lowest;minimum;near;nearer;nearest,pos:adj_comp gen:f num:p rat:n cas:u,DONE,[MS||MD||MP]-[MS||MD||FP]-[MS]-[MS] [-]-[f]-[m]-[f] [-]-[-]-[p]-[p] stem:0-1-2-3,OK~,,,1u2a3#aY-Ap-yMSfp,OK
44,45,d.r.y,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>adoraY,>ador,MS||MD||MP,#dip #aY-Ap-y,more/most_informed;more/most_knowledgeable,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD||MP] [-] [-] stem:0,OK~,,,>a1o2a3#dip #aY-Ap-yMS||MD||MP--,OK
45,46,d.w.r,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>adowar,>adowar,MS||MD,#dip,more/most_circulated,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
46,47,D.x.m,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aDoxam,>aDoxam,MS||MD,#dip,larger/largest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
47,48,D.y.q,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aDoyaq,>aDoyaq,MS||MD,#dip,more/most_confined;narrower/narrowest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
48,49,E.f.f,>a1a2~,>a1o2a3,LEXICON,[STEM-NOM],>aEaf~,>aEaf~,MS||MD,#dip,more/most_virtuous,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
