,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
100,>a1a2~,v-suff,gem,>aZal~,>aZal~,(.).(.).(.)~,$1u$2i$3~,v-suff,gem,>uZil~,1,,DONE
101,>a1a2~,c-suff,#n gem,>aZal~,>aZolal,(.).(.).(.).(.),$1u$2o$3i$4,c-suff,#n gem,>uZolil,1,,DONE
102,>a1a2~,v-suff,#n gem,>aZal~,>aZal~,(.).(.).(.)~,$1u$2i$3~,v-suff,#n gem,>uZil~,1,,DONE
103,>a1a2~,c-suff,#t gem,>aZal~,>aZolal,(.).(.).(.).(.),$1u$2o$3i$4,c-suff,#t gem,>uZolil,1,,DONE
104,>a1a2~,v-suff,#t gem,>aZal~,>aZal~,(.).(.).(.)~,$1u$2i$3~,v-suff,#t gem,>uZil~,1,,DONE
105,>a1aAo>,,#-A',>asaA',>as,(.).(.),$1u$2,,#-iy',>us,0,,DONE
106,>a1aAo3,c-suff,,>azaAr,>azar,(.).(.).(.),$1u$2i$3,c-suff,hollow,>uzir,1,,DONE
107,>a1aAo3,v-suff,,>azaAr,>azaAr,(.).(.)aA(.),$1u$2iy$3,v-suff,hollow,>uziyr,1,,DONE
108,>a1aAo3,c-suff,#n,>azaAr,>azar,(.).(.).(.),$1u$2i$3,c-suff,#n hollow,>uzir,1,,DONE
109,>a1aAo3,v-suff,#n,>azaAr,>azaAr,(.).(.)aA(.),$1u$2iy$3,v-suff,#n hollow,>uziyr,1,,DONE
110,>a1aAo3,c-suff,#t,>azaAr,>azar,(.).(.).(.),$1u$2i$3,c-suff,#t hollow,>uzir,1,,DONE
111,>a1aAo3,v-suff,#t,>azaAr,>azaAr,(.).(.)aA(.),$1u$2iy$3,v-suff,#t hollow,>uziyr,1,,DONE
112,>a1o>a3,,,>alo>ak,>alo>ak,(.).(.).(.).(.),$1u$2o}i$4,,,>ulo}ik,0,,DONE
113,>a1o>aY,,#->ay,>ano>aY,>ano,(.).(.).,$1u$2o,,#-}iy,>uno,1,,DONE
114,>a1o2a>,,#-a>,>ahoda>,>ahod,(.).(.).(.),$1u$2o$3i},,,>uhodi},0,,DONE
115,>a1o2a3,,#n,>ahoraE,>ahoraE,(.).(.).(.).(.),$1u$2o$3i$4,,#n,>uhoriE,1,,DONE
116,>a1o2a3,,#t,>ahoraE,>ahoraE,(.).(.).(.).(.),$1u$2o$3i$4,,#t,>uhoriE,1,,DONE
