,LINE,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,INTRANS_SCORE,STATUS
96,98,None,LEXICON,[STEM-IV],jA,j,IV,"[KEV] to come, come to+to come in order to do s.th.+to befall, descend upon+to come to, come one's way+to fit, be big enough",pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,-3,well-formedness:OK
97,99,None,LEXICON,[STEM-IV],maSaE,mSaE,IV,[MEERA] to take sth off harshly,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
98,100,None,LEXICON,[STEM-IV],$alaE,$laE,IV,"[KEV] to extract, remove, pull out",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
99,101,None,LEXICON,[STEM-IV],qaz~,qiz~,IV,[KEV] to survey (land+to shear hair or wool of an animal,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
100,102,None,LEXICON,[STEM-IV],nakab,nkib,IV,"[KEV] to put food into dishes+[KEV] to cause great suffering, to make miserable, to afflict",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
101,26,None,LEXICON,[STEM-IV],Dam~-i,Dim~,IV,"[KEV] to take s.th. away+to save, put away for safekeeping+to embrace",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
102,104,None,LEXICON,[STEM-IV],hajar,hjir,IV,"[KEV] to abandon, leave behind",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
103,105,None,LEXICON,[STEM-IV],qaSab,qSib,IV,[KEV] to cut meat,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
104,106,None,LEXICON,[STEM-IV],zal~,zil~,IV,"[KEV] to slip, make a mistake+to pour s.th.+to come to an end, be over",pos:verb asp:i vox:a mod:i,,,trans y#,-2,well-formedness:OK
105,107,None,LEXICON,[STEM-IV],zaHaf,zHaf,IV,"[KEV] to crawl, creep on the ground+to march",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
106,108,None,LEXICON,[STEM-IV],Tam~,Tum~,IV,"[KEV] to bury, cover over+to shut up",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
107,109,None,LEXICON,[STEM-IV],fasad,fsid,IV,"[KEV] to spoil, go bad, become rotten+to be or become corrupt, bad",pos:verb asp:i vox:a mod:i,,,intrans yi#,1,well-formedness:OK
108,110,None,LEXICON,[STEM-IV],xAT,xiyT,IV,[KEV] to sew+to tailor,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
109,112,None,LEXICON,[STEM-IV],xadaE,xdaE,IV,"[KEV] to deceive, mislead, dupe",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
110,113,None,LEXICON,[STEM-IV],hadam,hdim,IV,"[KEV] to tear down, demolish, destroy",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
111,114,None,LEXICON,[STEM-IV],$aHan,$Han,IV,"[KEV] to ship, freight",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
112,115,None,LEXICON,[STEM-IV],qa$aT,q$iT,IV,"[KEV] to scratch, nick, chip",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
113,116,None,LEXICON,[STEM-IV],fazaE,fzaE,IV,"[KEV] to go to s.o.'s aid, go to help s.o.",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
114,117,None,LEXICON,[STEM-IV],jAz,juwz,IV,"[KEV] to be allowed or permitted+to stop, quit",pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
