SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.MD.D.P0	muhad~iy	Almuhad~iy~tayon	PROB		
NOM.MD.I	muhad~iy	muhad~iy~ayon	OK		
NOM.MD.I	muhad~iy	muhad~iy~tayon	PROB		
NOM.MD.C	muhad~iy	muhad~iy~ayon	OK		
NOM.MD.C	muhad~iy	muhad~iy~tayon	PROB		
NOM.MD.D.P0.E0	muhad~iy		OK		
NOM.MD.C.E0	muhad~iy		OK		
NOM.MP.D.P0	Hay~	Al>aHyA'	OK		
NOM.MP.I	Hay~	>aHyA'	OK		
NOM.MP.C	Hay~	>aHyA'	OK		
NOM.MP.D.P0.E0	Hay~		OK		
NOM.MP.C.E0	Hay~		OK		
NOM.FS.D.P0	>axDar	AlxaDrA	OK		
NOM.FS.I	>axDar	xaDrA	OK		
NOM.FS.C	>axDar	xaDrA	OK		
NOM.FS.D.P0.E0	>axDar		OK		
NOM.FS.C.E0	>axDar		OK		
NOM.FS.D.P0	SafrA		PROB	wrong Cond-s Cond-t	
NOM.FS.I	SafrA		PROB	wrong Cond-s Cond-t	
NOM.FS.C	SafrA		PROB	wrong Cond-s Cond-t	
NOM.FS.D.P0.E0	SafrA		OK	wrong Cond-s Cond-t	
NOM.FS.C.E0	SafrA		OK	wrong Cond-s Cond-t	
NOM.FD.D.P0	SafrA		PROB	wrong Cond-s Cond-t	
NOM.FD.I	SafrA		PROB	wrong Cond-s Cond-t	
NOM.FD.C	SafrA		PROB	wrong Cond-s Cond-t	
NOM.FD.D.P0.E0	SafrA		OK	wrong Cond-s Cond-t	
NOM.FD.C.E0	SafrA		OK	wrong Cond-s Cond-t	
NOM.MS.D.P0	bariy'	Albariy'	OK		
NOM.MS.I	bariy'	bariy'	OK		
NOM.MS.C	bariy'	bariy'	OK		
NOM.MS.D.P0.E0	bariy'		OK		
NOM.MS.C.E0	bariy'		OK		
NOM.MD.D.P0	bariy'		OK		
NOM.MD.I	bariy'		PROB		
NOM.MD.C	bariy'		PROB		
NOM.MD.D.P0.E0	bariy'		OK		
NOM.MD.C.E0	bariy'		OK		
NOM.MP.D.P0	bariy'	Albariy}iyn	OK		
NOM.MP.I	bariy'	bariy}iyn	OK		
NOM.MP.C	bariy'	bariy}iyn	OK		
NOM.MP.D.P0.E0	bariy'		OK		
NOM.MP.C.E0	bariy'		OK		
NOM.FS.D.P0	bariy'	Albariy>ap	PROB	WRONG HAMZA	
NOM.FS.I	bariy'	bariy>ap	PROB	WRONG HAMZA	
NOM.FS.C	bariy'	bariy>ip	PROB	WRONG HAMZA	
NOM.FS.D.P0.E0	bariy'		OK		
NOM.FS.C.E0	bariy'		OK		
NOM.FD.D.P0	bariy'		OK		
NOM.FD.I	bariy'		PROB		
NOM.FD.C	bariy'		PROB		
NOM.FD.D.P0.E0	bariy'		OK		
NOM.FD.C.E0	bariy'		OK		
NOM.FP.D.P0	bariy'		OK		
NOM.FP.I	bariy'		PROB		
NOM.FP.C	bariy'		PROB		
NOM.FP.D.P0.E0	bariy'		OK		
NOM.FP.C.E0	bariy'		OK		
NOM.FS.D.P0	>uxraY	Al>uxraY	OK		
NOM.FS.I	>uxraY	>uxraY	OK		
NOM.FS.C	>uxraY	>uxraY	OK		
NOM.FS.D.P0.E0	>uxraY		OK		
NOM.FS.C.E0	>uxraY		OK		
NOM.FD.D.P0.E0	<iswid		OK		
NOM.FD.C.E0	<iswid		OK		
NOM.MS.D.P0	minsA'	AlminsA'	OK		
NOM.MS.I	minsA'	minsA'	OK		
NOM.MS.C	minsA'	minsA'	OK		
NOM.MS.D.P0.E0	minsA'		OK		
NOM.MS.C.E0	minsA'		OK		
NOM.MD.D.P0	minsA'		OK		
NOM.MD.I	minsA'		PROB		
NOM.MD.C	minsA'		PROB		
NOM.MD.D.P0.E0	minsA'		OK		
NOM.MD.C.E0	minsA'		OK		
NOM.MP.D.P0	minsA'	AlminsA'At	OK		
NOM.MP.I	minsA'	minsA'At	OK		
NOM.MP.C	minsA'	minsA'At	OK		
NOM.MP.D.P0.E0	minsA'		OK		
NOM.MP.C.E0	minsA'		OK		
NOM.MS.D.P0	mitsA'	AlmitsA'	OK		
NOM.MS.I	mitsA'	mitsA'	OK		
NOM.MS.C	mitsA'	mitsA'	OK		
NOM.MS.D.P0.E0	mitsA'		OK		
NOM.MS.C.E0	mitsA'		OK		
NOM.MD.D.P0	mitsA'		OK		
NOM.MD.I	mitsA'		PROB		
NOM.MD.C	mitsA'		PROB		
NOM.MD.D.P0.E0	mitsA'		OK		
NOM.MD.C.E0	mitsA'		OK		
NOM.MP.D.P0	mitsA'	AlmitsA}iyn	OK		
NOM.MP.I	mitsA'	mitsA}iyn	OK		
NOM.MP.C	mitsA'	mitsA}iyn	OK		
NOM.MP.D.P0.E0	mitsA'		OK		
NOM.MP.C.E0	mitsA'		OK		
NOM.FS.D.P0	mitsA'	AlmitsA'ap	OK		
NOM.FS.I	mitsA'	mitsA'ap	OK		
NOM.FS.C	mitsA'	mitsA'ip	OK		
NOM.FS.D.P0.E0	mitsA'		OK		
NOM.FS.C.E0	mitsA'		OK		
NOM.FD.D.P0	mitsA'		OK		
NOM.FD.I	mitsA'		PROB		
NOM.FD.C	mitsA'		PROB		
NOM.FD.D.P0.E0	mitsA'		OK		
NOM.FD.C.E0	mitsA'		OK		
NOM.FP.D.P0	mitsA'	AlmitsA'At	OK		
NOM.FP.I	mitsA'	mitsA'At	OK		
NOM.FP.C	mitsA'	mitsA'At	OK		
NOM.FP.D.P0.E0	mitsA'		OK		
NOM.FP.C.E0	mitsA'		OK		
NOM.FD.D.P0	>uxraY		OK		
NOM.FD.I	>uxraY		PROB		
NOM.FD.C	>uxraY		PROB		
NOM.FD.D.P0.E0	>uxraY		OK		
NOM.FD.C.E0	>uxraY		OK		
NOM.FP.D.P0	>uxraY	Al>uxrayAt	OK		
NOM.FP.I	>uxraY	>uxrayAt	OK		
NOM.FP.C	>uxraY	>uxrayAt	OK		
NOM.FP.D.P0.E0	>uxraY		OK		
NOM.FP.C.E0	>uxraY		OK		
NOM.MS.D.P0	mistiqAyA	AlmistiqAyA	PROB	#aA	
NOM.MS.I	mistiqAyA	mistiqAyA	PROB	#aA	
NOM.MS.C	mistiqAyA	mistiqAyA	PROB	#aA	
NOM.MS.D.P0.E0	mistiqAyA		OK		
NOM.MS.C.E0	mistiqAyA		OK		
NOM.MD.D.P0	mistiqAyA		OK		
NOM.MD.I	mistiqAyA		PROB		
NOM.MD.C	mistiqAyA		PROB		
NOM.MD.D.P0.E0	mistiqAyA		OK		
NOM.MD.C.E0	mistiqAyA		OK		
NOM.MP.D.P0	mistiqAyA	AlmistiqAyA}iyn	PROB	#aA	
NOM.MP.I	mistiqAyA	mistiqAyA}iyn	PROB	#aA	
NOM.MP.C	mistiqAyA	mistiqAyA}iyn	PROB	#aA	
NOM.MP.D.P0.E0	mistiqAyA		OK		
NOM.MP.C.E0	mistiqAyA		OK		
NOM.FP.D.P0	mistiqAyA	AlmistiqAyA'At	PROB	#aA	
NOM.FP.I	mistiqAyA	mistiqAyA'At	PROB	#aA	
NOM.FP.C	mistiqAyA	mistiqAyA'At	PROB	#aA	
NOM.FP.D.P0.E0	mistiqAyA		OK		
NOM.FP.C.E0	mistiqAyA		OK		
NOM.MS.D.P0	>ay~uhA	Al>ay~uhA	PROB	POS	
NOM.MS.I	>ay~uhA	>ay~uhA	PROB	POS	
NOM.MS.C	>ay~uhA	>ay~uhA	PROB	POS	
NOM.MS.D.P0.E0	>ay~uhA		PROB		
NOM.MS.C.E0	>ay~uhA		OK		
NOM.MS.D.P0	AistinjaliynA	AlAistinjaliynA	OK		
NOM.MS.I	AistinjaliynA	AistinjaliynA	OK		
NOM.MS.C	AistinjaliynA	AistinjaliynA	OK		
NOM.MS.D.P0.E0	AistinjaliynA		OK		
NOM.MS.C.E0	AistinjaliynA		OK		
NOM.MD.D.P0	AistinjaliynA		OK		
NOM.MD.I	AistinjaliynA		PROB		
NOM.MD.C	AistinjaliynA		PROB		
NOM.MD.D.P0.E0	AistinjaliynA		OK		
NOM.MD.C.E0	AistinjaliynA		OK		
NOM.MP.D.P0	AistinjaliynA	AlAistinjaliynA'At	PROB	INSERTED HAMYA	
NOM.MP.I	AistinjaliynA	AistinjaliynA'At	PROB	INSERTED HAMYA	
NOM.MP.C	AistinjaliynA	AistinjaliynA'At	PROB	INSERTED HAMYA	
NOM.MP.D.P0.E0	AistinjaliynA		OK		
NOM.MP.C.E0	AistinjaliynA		OK		
NOM.MD.D.P0	nAwiy	Aln~Awyayon	OK		
NOM.MD.I	nAwiy	nAwyayon	OK		
NOM.MD.C	nAwiy	nAwyayon	OK		
NOM.MP.D.P0	nAwiy	Aln~Awyiyn	OK		
NOM.MP.I	nAwiy	nAwyiyn	OK		
NOM.MP.C	nAwiy	nAwyiyn	OK		
NOM.FS.D.P0	nAwiy	Aln~Awyap	OK		
NOM.FS.I	nAwiy	nAwyap	OK		
