,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,BW,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,GLOSS,COND-T,COND-S,#GLOSS_OLD,FEAT,POS,GEN,NUM,RAT,CAS,UD,CATIB6,STATUS,COMMENTS,NOTES
28,29,s.b.E,1a2o3imiA},saboEimiA},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-GENITIVE],saboEimiA}ap,saboEimiA},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,NUM,NOM,DONE,,
29,30,s.b.E,1a2o3umi},saboEumi},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-NOMINATIVE],saboEumi}ap,saboEumi},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,NUM,NOM,DONE,,
30,31,s.b.E,1a2o3umiA},saboEumiA},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-NOMINATIVE],saboEumiA}ap,saboEumiA},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,NUM,NOM,DONE,,
31,32,s.b.E,1a2o3,saboE,DONE,5,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-NOM],saboEuwn,saboE,seventy,MP,#MP-uwn,seventy,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
32,33,S.f.r,1i2o3,Sifor,DONE,4,NOUN_NUM,1i2o3,20,DONE,LEXICON,[STEM-NOM],Sifor,Sifor,zero,MS,,zero,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
33,34,s.t.t,1i2~,sit~,DONE,2,NOUN_NUM,1i2o3,20,DONE,LEXICON,[STEM-NOM],sit~,sit~,six,MS||FS,,six,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,@genderpolarity
34,35,s.t.t,1i2~ami},sit~ami},DONE,1,NOUN_NUM,1i2o3,20,DONE,LEXICON,[STEM-ACCUSATIVE],sit~ami}ap,sit~ami},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,NUM,NOM,DONE,,
35,36,s.t.t,1i2~amiA},sit~amiA},DONE,1,NOUN_NUM,1i2o3,20,DONE,LEXICON,[STEM-ACCUSATIVE],sit~amiA}ap,sit~amiA},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,NUM,NOM,DONE,,
36,37,s.t.t,1i2~imi},sit~imi},DONE,1,NOUN_NUM,1i2o3,20,DONE,LEXICON,[STEM-GENITIVE],sit~imi}ap,sit~imi},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,NUM,NOM,DONE,,
37,38,s.t.t,1i2~imiA},sit~imiA},DONE,1,NOUN_NUM,1i2o3,20,DONE,LEXICON,[STEM-GENITIVE],sit~imiA}ap,sit~imiA},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,NUM,NOM,DONE,,
38,39,s.t.t,1i2~umi},sit~umi},DONE,1,NOUN_NUM,1i2o3,20,DONE,LEXICON,[STEM-NOMINATIVE],sit~umi}ap,sit~umi},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,NUM,NOM,DONE,,
39,40,s.t.t,1i2~umiA},sit~umiA},DONE,1,NOUN_NUM,1i2o3,20,DONE,LEXICON,[STEM-NOMINATIVE],sit~umiA}ap,sit~umiA},six-hundred,FS,X100,six-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,NUM,NOM,DONE,,
